price_eur,barrio,distrito,lat,lon,energy_consumption_rating,energy_consumption_value,energy_emissions_rating,energy_emissions_value,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
4500000.0,Aravaca,Moncloa-Aravaca,40.459848,-3.7842694,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,,False,False,0.0,False,False,False,,,False,False,False,Chalet
514206.0,Valdezarza,Moncloa-Aravaca,40.45995,-3.71128,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,97.0,97.0,False,False,False,Piso
355000.0,San Andrés,Villaverde,40.3484,-3.70229,False,,False,,0.0,False,True,Desconocida,False,False,1,True,False,A estrenar,False,False,,False,False,1.0,False,False,False,,,False,False,False,Piso
327500.0,Puerta Bonita,Carabanchel,40.375623,-3.748533,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,73.0,73.0,False,False,False,Piso
1911000.0,Aravaca,Moncloa-Aravaca,40.4606482,-3.7804163,False,,False,,0.0,False,True,Desconocida,False,False,4,False,False,A estrenar,False,False,11.0,False,False,1.0,False,False,False,285.0,285.0,False,False,False,Piso
919000.0,Sol,Centro,40.41891,-3.7021,False,,False,,0.0,True,True,Desconocida,False,False,3,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,112.0,112.0,False,False,False,Otro
249762.0,Moscardó,Usera,40.3866749,-3.7145834,False,,False,,0.0,False,True,Más de 50 años,False,False,1,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,68.0,54.0,False,False,False,Piso
1839000.0,Goya,Salamanca,40.42567,-3.67118,False,,False,,0.0,True,True,Desconocida,False,False,3,False,False,A estrenar,True,False,3.0,False,False,0.0,False,False,False,163.0,163.0,False,False,False,Piso
339000.0,Justicia-Chueca,Centro,40.4215545,-3.7000851,False,,False,,0.0,False,True,Más de 50 años,False,1.0,2,False,False,En buen estado,False,False,3.0,False,False,1.0,False,False,False,32.0,50.0,False,False,False,Otro
1309000.0,Lista,Salamanca,40.43,-3.67756,False,,False,,0.0,True,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,105.0,105.0,False,False,False,Piso
1329000.0,Castellana,Salamanca,40.436825,-3.6803887,False,,False,,0.0,True,True,Entre 30 y 50 años,False,False,2,True,False,A estrenar,False,False,2.0,False,False,1.0,False,False,False,114.0,100.0,False,False,False,Piso
215000.0,Chopera,Arganzuela,40.3963191,-3.6976307,False,,False,,1.0,False,True,Más de 50 años,False,False,1,True,False,Reformado,False,False,2.0,False,False,0.0,False,False,False,39.0,39.0,False,False,False,Piso
1299000.0,Goya,Salamanca,40.42567,-3.67118,False,,False,,0.0,True,True,Desconocida,False,False,3,False,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,101.0,101.0,False,False,False,Otro
2170000.0,Castellana,Salamanca,40.42892488284522,-3.682230282217283,False,,False,,0.0,True,True,Más de 50 años,False,False,4,True,False,Reformado,False,False,4.0,False,False,2.0,Portero físico,True,False,175.0,155.0,False,False,False,Piso
1519000.0,Trafalgar,Chamberí,40.42897,-3.70054,False,,False,,0.0,False,True,Desconocida,False,False,3,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,145.0,145.0,False,False,False,Piso
1309000.0,Goya,Salamanca,40.42543,-3.6772,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,92.0,92.0,False,False,False,Otro
799000.0,Universidad-Malasaña,Centro,40.42798,-3.70388,False,,False,,0.0,True,True,Desconocida,False,False,1,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,79.0,79.0,False,False,False,Piso
1134000.0,Trafalgar,Chamberí,40.43034,-3.70086,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,100.0,100.0,False,False,False,Otro
2500000.0,Ciudad Jardín,Chamartín,40.448177,-3.672286,False,,False,,0.0,True,True,Menos de 5 años,False,False,3,False,False,A estrenar,False,True,3.0,True,True,5.0,True,False,False,207.0,200.0,True,False,False,Otro
249000.0,Casco Histórico de Vallecas,Villa de Vallecas,40.3786,-3.62666,False,,False,,0.0,False,True,Más de 50 años,False,False,2,True,False,En buen estado,False,False,3.0,False,False,0.0,False,True,False,76.0,76.0,False,False,False,Otro
395000.0,Casco Histórico de Barajas,Barajas,40.4715379,-3.5782283,False,,False,,0.0,True,True,Entre 20 y 30 años,False,1.0,4,False,False,Reformado,True,True,4.0,False,False,2.0,False,False,True,80.0,69.0,False,False,True,Piso
260000.0,Abrantes,Carabanchel,40.3796174,-3.7302495,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,En buen estado,False,False,3.0,False,False,2.0,False,False,False,85.0,85.0,False,False,False,Piso
1363950.0,Goya,Salamanca,40.4276622,-3.6771377,False,,False,,0.0,True,True,Más de 50 años,False,False,2,True,False,A estrenar,False,False,2.0,False,False,6.0,False,False,False,130.0,110.0,False,False,False,Piso
2259000.0,Lista,Salamanca,40.434513,-3.6783946,False,,False,,0.0,True,True,Más de 50 años,False,False,3,True,False,A estrenar,False,False,3.0,False,False,3.0,False,False,False,197.0,170.0,False,False,False,Piso
819000.0,Recoletos,Salamanca,40.4274,-3.68015,D,300 kWh/m² año,D,300 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,2,False,False,En buen estado,False,False,2.0,False,False,1.0,False,False,False,76.0,76.0,False,False,False,Otro
649000.0,Aravaca,Moncloa-Aravaca,40.4508139,-3.7841077,False,,False,,0.0,False,True,Entre 20 y 30 años,False,False,2,True,False,En buen estado,False,True,3.0,False,False,1.0,False,True,False,143.0,143.0,False,False,False,Piso
2619000.0,Lista,Salamanca,40.43443,-3.6766968,False,,False,,0.0,True,True,Más de 50 años,False,False,4,True,False,A estrenar,False,False,4.0,False,False,4.0,False,False,False,210.0,170.0,False,False,False,Piso
462500.0,Ventas,Ciudad Lineal,40.4286461,-3.6520305,B,52 kWh/m² año,B,8 Kg CO₂/m² año,0.0,False,True,Menos de 5 años,False,False,2,False,False,En buen estado,False,False,2.0,False,False,3.0,False,False,False,107.0,73.0,False,False,False,Piso
120000.0,San Diego,Puente de Vallecas,40.392168,-3.6648797,False,,False,,0.0,False,True,Más de 50 años,False,False,1,True,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,30.0,30.0,False,False,False,Piso
339000.0,Justicia-Chueca,Centro,40.4224872,-3.6994085,False,,False,,0.0,False,True,Más de 50 años,False,1.0,3,False,False,En buen estado,False,False,3.0,False,False,1.0,False,False,False,28.0,70.0,False,False,False,Otro
